review,at,source,sentiment,score,category
"@PineLabs  *GOOGLE PINELAB OLD*
 S/N - 1492831226 TID - 42677703
 *Google PINELAB New*
TID- 42773092 S/N - 1493791131
आपके salesman mr रामकेश जी ने मेरी एक ही फर्म पर दो  pos machines install karke approx 15000/- rs. extra lagwa diya hai.Plz take back one pos and return my fund.",2025-03-28 13:38:12+0000,PineLabs,neutral,0.501053989,servicing
"@PineLabs Well I don’t need any ‘HELP’. I asked to return the machines. Someone came without any paperwork to collect it. And said is going to charge for a charger that failed and is nonfunctional. Ridiculous!!  Having made so much money from my charging, now you want me 650 for a charger",2025-03-27 14:05:36+0000,PineLabs,negative,0.933253527,servicing
"@PineLabs service has to be the worst for small retailers. Since 12 days, no brand EMI swipes are happening and customer service doesn't seem to care at all. Imagine the inconvenience for a busy retailer with regular footfall! 

Does anyone know of any alternatives? Please help",2025-03-26 07:03:16+0000,PineLabs,negative,0.941562355,servicing
"@PineLabs raised a complaint for EDC machine not working on 21st march 2024. Complaint no has been given but still solution has not been provided.
We are facing trouble in charging card of hotel guests.
Can a solution be provided or it is a regular way of process ?",2025-03-25 12:05:59+0000,PineLabs,negative,0.7976138,device-issue
@PineLabs I have complain about this machine which is unsolved from 5 days.,2025-03-25 11:30:35+0000,PineLabs,negative,0.825284839,device-issue
"@PineLabs @PineLabs I have removed ur Card machine from my store but u guys are still deducted amount from my current account,pic attached asap return my money or I am moving to consumer court https://t.co/MCJTJQgq6v",2025-03-24 09:34:46+0000,PineLabs,negative,0.545038342,settlement
"@PineLabs Ridiculous terms of service. Start charging for machines rental without intimation, is my account open for purging at your free will?  DONT USE PINE LAB SWIPING MACHINES…….",2025-03-21 03:00:40+0000,PineLabs,negative,0.948024571,pricing
"@PineLabs ""मैं बार-बार बात करके थक चुका हूँ। आपकी सेवा अत्यंत निम्न स्तरीय है। धन्यवाद।""",2025-03-20 15:54:21+0000,PineLabs,positive,0.52050966,servicing
"@PineLabs की सेवा देखकर मुझे ऐसा लगता है जैसे इन्होंने पैसा लेकर हाथ झाड़ लिया हो! दो मशीन के लिए ₹32,000 चुकाए, मशीन भी मिली, लेकिन सेवा? भगवान भरोसे । इतनी घटिया सेवा पर ध्यान दें, नहीं तो आपकी साख डूबने वाली है!""
@PineLabs से दूरी ही भली है। 🙏",2025-03-20 14:11:58+0000,PineLabs,negative,0.382848769,servicing
"@PineLabs I'm not getting coustomer support from your team
The person who installed device not receiving call and replying messages",2025-03-20 12:36:31+0000,PineLabs,negative,0.690614581,servicing
@PineLabs Call me now. Sharing my alternate number in DM too,2025-03-20 09:33:57+0000,PineLabs,neutral,0.856185615,servicing
@PineLabs कितने दिन हो गए  pine labs वालो तुम्हे लोगो को लूटते हुए साले हरामखोरो मुझे मेरे पैसा वापस चाहिए आज तक मेरे पैसे का कुछ नही हुवा ओर जबाव भी नही मिला बिना उस के मेरे account से पैसे काट लिये  पागल बना के 2 महीने से जवाब देने का टाइम नही ह आपके pass,2025-03-18 15:16:12+0000,PineLabs,negative,0.732845008,settlement
"@PineLabs plans a domestic #IPO in the second half of 2025 in #India.

Click here for the full story: https://t.co/5VPtsBplPC https://t.co/QntUtN98vl",2025-03-18 13:09:13+0000,PineLabs,neutral,0.731066942,None of the above
"@PineLabs Call centre waale logo ne phone receive karna bhi band kar diya ab to.

How much more i need to suffer.

@PineLabs @PineLabs  @Paytm @Paytmcare @HDFC_Bank @Mswipe https://t.co/uA2JAKllYu",2025-03-17 15:06:48+0000,PineLabs,negative,0.809247375,servicing
"@PineLabs After suffering of more than one month got the resolution that one more request registered although more than 10 requests are made for the same concern.
@PineLabs @pinelabsonline pls stop troubling people. https://t.co/ZEn5ANY4tR",2025-03-17 13:17:57+0000,PineLabs,negative,0.80086869,servicing
"@PineLabs @YESBANK Yes Bank merchant acquisition people mislead merchants to sign up for Pine Labs. Once signed up, Pine Labs sends a different contract which is not discussed by the Yes Bank! Is this new way to scam businesses? @RBI please check",2025-03-17 09:47:40+0000,PineLabs,negative,0.73646301,onboarding
"@PineLabs This is how u are available 24x7 on what's app.

Havells some accountability https://t.co/hFRoB9xjX7",2025-03-17 08:58:31+0000,PineLabs,neutral,0.492706269,servicing
"@PineLabs I have used HDFC axis and SBI POS machine, but I have found pinelabs is worst in all of them. They cause inconvenience to merchant and merchant's customer. @RBI @PMOIndia @narendramodi",2025-03-14 19:26:16+0000,PineLabs,negative,0.933492362,device-issue
"@PineLabs I have used HDFC axis and SBI POS machine, but I have found pinelabs is worst in all of them. They cause inconvenience to merchant and merchant's customer. @RBI @PMOIndia @narendramodi",2025-03-14 19:25:34+0000,PineLabs,negative,0.933492362,device-issue
@PineLabs https://t.co/B14jno8GZF,2025-03-14 11:23:20+0000,PineLabs,neutral,0.760809481,device-issue
@PineLabs REALITY... @pinelabsonline @PineLabs https://t.co/Iejr99IOEC,2025-03-13 15:33:41+0000,PineLabs,neutral,0.788138151,device-issue
"@PineLabs https://t.co/HNWhiojF82

See the reality of Pinelabs. It is just to suffer.",2025-03-13 15:33:18+0000,PineLabs,negative,0.914964259,device-issue
"@PineLabs @PineLabs Get the status of priority matter. Till now nothing is updated, I am not able to make EMIs of customers. One more day of suffering is passed away.
Your delay of working causing directly loss of sales. Learn from @Paytm machine get in working with in 3 days of delivery",2025-03-13 15:17:31+0000,PineLabs,negative,0.879329562,servicing
"@PineLabs Hi we are the valuable customer for you but these 2 3 days I'm facing some issues with your service, transaction was done on 11/03 till today it is not transferred to our account.
Your representative is telling that this problem is only in Pune, why this is happen? Tbc",2025-03-13 12:07:11+0000,PineLabs,negative,0.629707634,settlement
@PineLabs no one get in touch. You guys bluff only or make excused to make us suffer.,2025-03-13 11:24:24+0000,PineLabs,negative,0.921830952,servicing
"@PineLabs is the most shit company ever. Their whole interface doesn't have any transparency/controls for merchants, a simple account change or checking invoices/ledger is hell for customers. @amrishrau

Feel like just complaining to @RBI  

is @Razorpay any better?",2025-03-13 10:09:31+0000,PineLabs,negative,0.950362146,servicing
"@PineLabs 8239552000
case id: 74751224",2025-03-13 08:35:28+0000,PineLabs,neutral,0.891551375,servicing
@PineLabs No one has still contacted me @PineLabs   .,2025-03-12 12:34:14+0000,PineLabs,negative,0.515558481,servicing
https://t.co/7eNThzsogz,2025-03-12 12:10:13+0000,PineLabs,neutral,0.520839512,device-issue
@PineLabs,2025-03-12 09:09:37+0000,PineLabs,neutral,0.420994848,device-issue
@PineLabs @RelianceDigital @AxisBank @AmitabhChaudhry @BadeBrian @amrishrau Please look into the cash back which was suppose to be credited after 90 days of TV purchase on Axis bank card TID 20814391 on 16 Oct from reliance digital AMB Mall VK comp 0701438544,2025-03-12 08:23:32+0000,PineLabs,neutral,0.82785213,settlement
@PineLabs why yours service are so poor?,2025-03-12 07:11:35+0000,PineLabs,negative,0.907270372,servicing
"@PineLabs Why do you have a partnership with AeronPay and @aeronflytravel fraudsters? They are looting people, and your reputation is at stake.",2025-03-12 06:15:53+0000,PineLabs,negative,0.941979706,servicing
"@PineLabs @sanalovesafzal Why do you have a partnership with AeronPay fraudsters? They are looting people, and your reputation is at stake.",2025-03-12 06:14:58+0000,PineLabs,negative,0.942316175,servicing
@PineLabs It been a day still from your side no is contacting us #amrishrau #pinelabs,2025-03-12 05:06:38+0000,PineLabs,negative,0.537496448,servicing
@PineLabs What is the status of my issue???,2025-03-12 05:00:08+0000,PineLabs,neutral,0.857876837,servicing
@PineLabs Still no call back from your team,2025-03-11 07:39:02+0000,PineLabs,negative,0.541348517,servicing
@PineLabs @PineLabs you resolution is just to contact @Hamleys_India after 1.5months on the ticket. Please resolve it properly just don’t close saying contact brand. You need to be responsible for payment dispute resolution.,2025-03-10 16:00:08+0000,PineLabs,negative,0.538126886,settlement
"@PineLabs @Hamleys_India @PineLabs Its been 2 months, who is going to refund the money for failed transactions, you guys are asking me to check with each other. Please resolve, is there no law around these cheating? https://t.co/jurliMEUVh",2025-03-10 15:55:37+0000,PineLabs,negative,0.877732038,settlement
@Razorpay i Love ur open source SDKs (⁠.⁠ ⁠❛⁠ ⁠ᴗ⁠ ⁠❛⁠.⁠),2025-04-08 23:42:09+0000,Razorpay,positive,0.752516389,device-issue
"@Razorpay Merchants sell their products with hard efforts and work on thin margins. You collect our money and instead of sending it to our bank immediately or next day, you keep it with you for 3-5 days for no justifiable reason. @FinMinIndia @RBI @ndtv @ANI @PTI_News",2025-04-08 10:44:45+0000,Razorpay,negative,0.609914005,settlement
Know more: https://t.co/AXxFxWNrWp,2025-04-08 10:24:31+0000,Razorpay,neutral,0.877842188,device-issue
@Razorpay is still in 2024 https://t.co/VdJvAoqu2E,2025-04-08 09:26:05+0000,Razorpay,neutral,0.908530951,device-issue
@Razorpay Your CEO Mr Harshil Mathur is not reachable even on LinkedIn! You need his email ID to invite! Shame on your scam payment gateway https://t.co/Bd0qevS5bD,2025-04-08 07:58:15+0000,Razorpay,negative,0.942160606,onboarding
"@Razorpay @PMOIndia @FinMinIndia @RBI Razorpay has no customer service phone number or email. If a merchant creates a ticket, he gets a call from  a number where not a single word is audible. CS utters a few words and doesn’t care if he was audible and closes the ticket! https://t.co/IYqLIeMZiz",2025-04-08 07:26:01+0000,Razorpay,neutral,0.565987349,servicing
"@Razorpay @FinMinIndia @RBI Razorpay considers itself as a prime Payment Gateway but they have zero customer support. No customer service phone number or email. If the merchant has a problem, go generate a ticket and they will respond when it’s convenient for them! Shameful! https://t.co/ybw0ucSRiK",2025-04-08 05:17:32+0000,Razorpay,negative,0.941643536,servicing
"@Razorpay Hello! Settlements were happening the next day of transactions! How come the schedule is changed and you are keeping money for 3 days? Your services are already pathetic! No customer service numbers, nor email support! @rbi should investigate your competence",2025-04-08 05:06:52+0000,Razorpay,negative,0.942090452,settlement
"@Razorpay @FinMinIndia @RBI Is @digilocker_ind a Govt of India app? If the govt promotes digital, why does Razorpay's Video KYC, per RBI guidelines, still require a physical document?

@FinMinIndia why does the identity card issuer charges fees when a physical document is required mandate by financial institutions",2025-04-08 04:55:36+0000,Razorpay,neutral,0.483219415,onboarding
@Razorpay So hard to get issues resolved through your customer care team.,2025-04-08 04:53:29+0000,Razorpay,neutral,0.509512842,servicing
@Razorpay are you allergic to money ? 🤡,2025-04-07 13:44:49+0000,Razorpay,negative,0.835121632,pricing
"@Razorpay I need to change my bank details but your app isn’t allowing me to
Pls work on this",2025-04-07 09:42:31+0000,Razorpay,negative,0.617203534,servicing
@Razorpay are you’ll allergic to money ?,2025-04-07 08:15:32+0000,Razorpay,negative,0.729346395,pricing
"@Razorpay I made a prepaid order via your gateway on March 10th to @RoastersToffee — it was never shipped and they’re not issuing a refund despite repeated follow-ups.
Please advise how to escalate this and recover my money.
#ConsumerRights #RefundRequest @RazorpayCare #Fraud",2025-04-07 06:25:23+0000,Razorpay,negative,0.85215795,settlement
"@Razorpay Hello Razorpay Team,
I am an online teacher and I take classes through Google Meet. I use Razorpay only to collect fees from my students. Today I got a mail saying my account is suspended due to regulatory non-compliance. I don’t understand what went wrong. Plz fix this",2025-04-07 05:17:41+0000,Razorpay,negative,0.846452534,onboarding
"@Razorpay is betting on AI to transform fintech. Co-founder @harshilmathur says AI is enabling ‘10x more outcome for the same resources’.

Watch the full episode: https://t.co/ED33KFNBSX

@ShereenBhan https://t.co/pWvl7ELesa",2025-04-06 06:30:00+0000,Razorpay,positive,0.622128189,None of the above
@Razorpay trying to get in touch with u guys. Y is it so difficult? No replies on mails too. Too big to track may be,2025-04-05 19:10:38+0000,Razorpay,negative,0.78436631,servicing
@Razorpay you are doing fraud my 3 payments are failed during order from Bajaj but still doesn't get refund you ate doing big scam,2025-04-05 17:49:08+0000,Razorpay,negative,0.892063737,settlement
@Razorpay #RazorpayIsACheater deducted two times my payment . Tomorrow my emi will bounce and cibil will be affected. I want justice . My payment tomorrow . Then I will reach your office with play cards #RazorpayDoFraud,2025-04-04 19:17:59+0000,Razorpay,negative,0.752797902,transaction-success
@Razorpay you people cheat on behalf of your clients. You deducted two times payment from my account . I will sue you in court 2morrow I have emi to pay which will be bounce and my cibil will get affected. As well as carry social media campaign against you . #RazorpayIsACheater,2025-04-04 19:15:30+0000,Razorpay,negative,0.854144275,transaction-success
@Razorpay my settlement has been stuck despite giving all documents. Your team keeps delaying by saying they’ll visit the shop but no one shows up. Please resolve it ASAP.”,2025-04-04 14:54:17+0000,Razorpay,negative,0.820155978,settlement
"@Razorpay My Razorpay account (ID: PyKJOExct6VOD7) has been suspended, and I would like to understand the reason behind it. I have balance of Approx 10K in it.",2025-04-04 13:36:07+0000,Razorpay,negative,0.784093022,servicing
"@Razorpay is not a center support for online fraud. They don't provide support option to customer , and offer all features to hide identity to fraud merchants. @RBI 

Will be filing another dozier to block @Razorpay for onboarding new merchant. I think u forgot the earlier one https://t.co/tyJcyvU8R2",2025-04-04 10:55:43+0000,Razorpay,negative,0.86700058,onboarding
"@Razorpay, the transaction made
 through your payment gateway is not reflecting. I have dm'd @RazorpayCare, but they haven't even acknowledged it.",2025-04-04 08:02:31+0000,Razorpay,negative,0.703581393,transaction-success
@Razorpay You take so long to respond!! Why do you give incorrect information about your service delivery time while reporting an issue?,2025-04-04 07:25:20+0000,Razorpay,negative,0.853435755,servicing
@Razorpay It’s been a week since we raised a ticket for a non functional UPI QR code and it’s still not resolved. This is causing major losses as our campaigns are on hold. How can businesses rely on @Razorpay with this kind of delay?,2025-04-04 03:00:26+0000,Razorpay,negative,0.932408929,servicing
@Razorpay i applied for gateway for my new venture around 45days back…so many queries…immediately replied by my team…everytime executives says this is last query than again a new executive new query…last query replied on 28/03/25…waiting for approval,2025-04-04 02:08:52+0000,Razorpay,neutral,0.488568962,onboarding
"@Razorpay pls contact me 
I need to integrate payment gateway for my company @profilecraftHQ 

Dm me so that I can share my number
Arrange call back
I need to compete the KYC asap and need to add my current account number which i got today",2025-04-03 16:59:12+0000,Razorpay,neutral,0.764044344,onboarding
@Razorpay @RazorpayCare dear team we are trying from last 3 months to connect and link my website for payment gateway but no one response and didn’t get any mail call from your side . Is there anyone to help,2025-04-02 08:49:06+0000,Razorpay,negative,0.467489272,onboarding
"@Razorpay Support Ticket #14223174. 21 days, and close to 10 follow ups - No response. You guys are really pushing the limits of customer delight !!",2025-04-02 07:31:06+0000,Razorpay,negative,0.863960922,servicing
@Razorpay Poor support and their payment gateway is not working properly. We had to switch to PayPal. We have lost so many potential customers bcz of #Razorpay. Even after 2-3 months of waiting issue was not resolved and some of the tickets weren't replied. Don't use it &amp; save your clients,2025-04-02 06:35:56+0000,Razorpay,negative,0.932352543,servicing
"@Razorpay at it again....you just made my April Cooler with an F...
 https://t.co/XlTwx2jSwD",2025-04-02 06:23:12+0000,Razorpay,positive,0.773877025,settlement
@Razorpay Poor support and their payment gateway is not working properly. We had to switch to PayPal. We have lost so many potential customers bcz of #Razorpay. Even after 2-3 months of waiting issue was not resolved and some of the tickets weren't replied. Don't use it &amp; save your clients,2025-04-02 06:18:39+0000,Razorpay,negative,0.932352543,servicing
@Razorpay Poor support and their payment gateway is not working properly. We had to switch to PayPal. We have lost so many potential customers bcz of #Razorpay. Even after 2-3 months of waiting issue was not resolved and some of the tickets weren't replied. Don't use it &amp; save your clients,2025-04-02 06:18:20+0000,Razorpay,negative,0.932352543,servicing
@Razorpay Poor support and their payment gateway is not working properly. We had to switch to PayPal. We have lost so many potential customers bcz of #Razorpay. Even after 2-3 months of waiting issue was not resolved and some of the tickets weren't replied. Don't use it &amp; save your clients,2025-04-02 06:18:05+0000,Razorpay,negative,0.932352543,servicing
"@Razorpay Terrible experience with Razorpay. Our KYC has been stuck forever with zero updates. No response to follow-ups. Clearly, we’re not the only startup facing this. Time to fix your broken system.
@Razorpay
@RazorpayCare
@RazorpayX
@harshilmathur",2025-04-02 05:26:59+0000,Razorpay,negative,0.901188731,onboarding
"@Razorpay why is my @HDFC_Bank card getting declined on your portal by stating ""denied by bank""?

The bank is stating they haven't declined any transaction!",2025-04-02 05:13:43+0000,Razorpay,negative,0.78371948,onboarding
"@Razorpay Terrible experience with Razorpay. Our KYC has been stuck forever with zero updates. No response to follow-ups. Clearly, we’re not the only startup facing this. Time to fix your broken system.
@Razorpay
@RazorpayCare
@RazorpayX
@harshilmathur",2025-04-01 18:07:44+0000,Razorpay,negative,0.901188731,onboarding
@Razorpay my customer has paid on my website and payment is not captured after this I have cancelled order when she will get refund please see this matter,2025-04-01 12:50:38+0000,Razorpay,negative,0.575710237,transaction-success
"@Razorpay @shashank_kr 
1. I have proudly asked so many founder friends to use Razorpay as a Payment gateway in the past primarily bcz of its reliability. But lately(since last one quarter) there are so many reliability issues coming up.",2025-04-01 11:23:13+0000,Razorpay,neutral,0.452511728,device-issue
@Razorpay My KYC is stuck due to some bug on your side where the Submit button at the last stage never gets activated. Your customer support has given up on it. It has been days.,2025-04-01 10:00:52+0000,Razorpay,negative,0.856711924,onboarding
"Build your startup now: https://t.co/oxTyBBdFZN

#Razorpay #VibeFounder",2025-04-01 06:59:46+0000,Razorpay,neutral,0.699896097,onboarding
@Razorpay unable to make transaction with credit card. Seems like once failure comes customer will be stuck for ever in that loop. Initially made transaction on 16th with lower limit after that I am stuck unable to make any payment with the card.,2025-03-31 16:38:14+0000,Razorpay,negative,0.891394913,onboarding
@Razorpay @even_healthcare @HarryShaka @officialAroleap @AvayBiosciences @foldmoney_ Soon we will be here…. ❤️,2025-03-31 06:30:19+0000,Razorpay,positive,0.779497683,None of the above
"@Razorpay I am extremely disappointed with the poor service your platform is providing. After spending hours setting up my account, completing the KYC process, and even making a payment to activate it, I now find that you are once again asking for KYC verification.",2025-03-30 10:52:22+0000,Razorpay,negative,0.953073502,onboarding
Are you The Next Big Thing? Get featured: https://t.co/SWmkZaKoBT,2025-03-30 08:12:06+0000,Razorpay,neutral,0.670047402,None of the above
"@Razorpay is betting on AI to transform fintech. Co-founder @harshilmathur says AI is enabling ‘10x more outcome for the same resources’.

From moonshot projects like Agentic-AI to handle payments, to handling 10x more customer queries, Co-founder @shashank_kr says, “Let people experiment and fail. When some things create an impact, it changes the game.”

@ShereenBhan | @CNBCYoungTurks

#razorpay #UPI #onlinepaymentgateway #ytreloaded #cnbctv18digital",2025-03-30 07:35:07+0000,Razorpay,positive,0.496876627,onboarding
@Razorpay @RazorpayCare I made a mistake of enquiring and chatting with your executive. Her choice of words only because I’m comparing the price of your services with others makes her think I’m a fool and deserve to be handled unprofessionally. Pls look into this. @harshilmathur https://t.co/u6KXAiGenD,2025-03-30 07:08:14+0000,Razorpay,negative,0.931723654,servicing
Are you The Next Big Thing? Get featured: https://t.co/SWmkZaKWrr,2025-03-29 11:57:24+0000,Razorpay,neutral,0.670047402,pricing
"https://t.co/Ps5IXOOlvN

Cricket training just got smarter! StanceBeam's smart bat sensor delivers real-time AI insights and helps you perfect your batting technique. https://t.co/SCKDtpIjxM",2025-03-29 11:57:24+0000,Razorpay,positive,0.713050783,device-issue
"https://t.co/jpfmwP0oGR

What if protein were...plant-powered and delicious? 
Shaka Harry is reinventing how we consume protein and is making it more flavourful. https://t.co/IKr0ivDqpo",2025-03-29 11:57:23+0000,Razorpay,positive,0.67727834,None of the above
"https://t.co/sdS4Qhdq5e

Break into your dream tech job with Newton School! Their pay-after-placement model ensures you focus on learning while they focus on getting you placed. https://t.co/bwvpECDNqM",2025-03-29 11:57:22+0000,Razorpay,positive,0.60544467,onboarding
"https://t.co/7DtJy6inwM

Ever struggled with managing your finances? 
Fold is solving that problem by connecting all your bank accounts on the same dashboard. https://t.co/gEZc8O7aET",2025-03-29 11:57:21+0000,Razorpay,neutral,0.602354646,onboarding
"https://t.co/awd0s7GPLU

Avay Biosciences is bringing the future to life, one 3D-printed cell at a time! With cutting-edge tech, they're turning innovation into stellar medical breakthroughs. https://t.co/utw7sfkohT",2025-03-29 11:57:21+0000,Razorpay,positive,0.812861264,device-issue
"https://t.co/d9FNL6IQq7

Aroleap's Al learns from your workouts in real time, so you train smarter at home. Get Al-driven insights that help you improve with every session. https://t.co/ky8ZPo171s",2025-03-29 11:57:20+0000,Razorpay,positive,0.646198988,onboarding
"https://t.co/A2Z30eLX7r

Even Healthcare is on a mission to make India healthy.
Affordable, extensive and personalized health coverage is now more accessible than ever! https://t.co/CHPhLWaDoJ",2025-03-29 11:57:19+0000,Razorpay,positive,0.684726417,onboarding
"https://t.co/0tzyWR75KC

No more “Who’s paying?” moments! Coupl lets partners open a joint account and keep shared expenses in check. https://t.co/QJLLgoZm5q",2025-03-29 11:57:18+0000,Razorpay,neutral,0.678679287,onboarding
"@Razorpay hi team

I had a refund issued, for which I am filling the bank details and submitting on your portal but seems like it is failing everytime, could you please check and help me to get this done?
@RazorpayCare",2025-03-29 11:00:04+0000,Razorpay,negative,0.635041058,settlement
"@Razorpay URGENT! We requested an account deletion, and your team confirmed we could create a new one with the same mobile number. Yet, we still get the ""Phone number already exists"" error.

This is blocking our business! Fix this NOW. Escalate ASAP.

#RazorpaySupport #help",2025-03-28 14:47:55+0000,Razorpay,negative,0.698575199,onboarding
"@Razorpay , @RazorpayCare @RazorpayX @RazorpayTech Razorpay's claim of 24x7 support, our repeated attempts to contact them, including multiple form submissions, have gone unanswered. If acquiring new customers is this difficult, their after-sales support raises serious concerns. https://t.co/tN6LebFRZD",2025-03-28 09:56:23+0000,Razorpay,negative,0.819216788,servicing
https://t.co/zgOWbvDrbH,2025-03-28 08:33:14+0000,Razorpay,neutral,0.520839512,device-issue
https://t.co/5eZkAupHLo,2025-03-28 08:33:12+0000,Razorpay,neutral,0.520839512,device-issue
https://t.co/odDYFvJBUh,2025-03-28 08:33:10+0000,Razorpay,neutral,0.520839512,device-issue
"@Razorpay @RazorpayCare @jagograhakjago

What a pathetic service. Made false promise to deliver POS by 15 th march. Got message ydy that your KYC is not submitted after 15 dy dly .not able to upload photos also. Moreover customer care is of no use as they are not solving cs https://t.co/BjjtFdv21K",2025-03-28 07:49:42+0000,Razorpay,negative,0.920918822,onboarding
"@Razorpay @RazorpayCare is third class company which doesnt have any process of onboarding. only process process they want to play, hoping your company shuts down one day @shashank_kr",2025-03-28 07:29:56+0000,Razorpay,negative,0.907108486,onboarding
@Razorpay doing interesting marketing stuff in blr. https://t.co/ll7HCD5EhW,2025-03-27 13:20:12+0000,Razorpay,positive,0.506778061,None of the above
@Razorpay Why are you not accepting HDFC Diners card? @HDFC_Bank,2025-03-27 13:19:26+0000,Razorpay,negative,0.700511277,onboarding
"@Razorpay @RazorpayCare 

Who ever is blocking our meagre donations please know you can not kill dissent . Anhad will continue to raise its voice against authoritarianism, fascism, hatred . 
For 11 years we have survived on minuscule resources from close friends and supporters https://t.co/8B9OXPzeyc",2025-03-27 12:07:00+0000,Razorpay,negative,0.771349311,settlement
https://t.co/eIpophtYmP,2025-03-27 05:18:42+0000,Razorpay,neutral,0.520839512,device-issue
https://t.co/Be4PDbdglA,2025-03-27 05:18:42+0000,Razorpay,neutral,0.520839512,device-issue
https://t.co/Hi3eQ1I4SN,2025-03-27 05:18:41+0000,Razorpay,neutral,0.520839512,device-issue
https://t.co/qo1aDNTTDe,2025-03-27 05:18:40+0000,Razorpay,neutral,0.520839512,device-issue
"@Razorpay @RazorpayCare Tried calling, Pl arrange a call back 

Ticket Id: 14504469",2025-03-27 04:47:11+0000,Razorpay,neutral,0.766740978,servicing
https://t.co/YfouIgagiw,2025-03-26 14:14:32+0000,Razorpay,neutral,0.520839512,device-issue
https://t.co/tpb4pW095b,2025-03-26 14:14:31+0000,Razorpay,neutral,0.520839512,device-issue
https://t.co/P2QWStc0jn,2025-03-26 14:14:30+0000,Razorpay,neutral,0.520839512,device-issue
"@Razorpay @RazorpayCare
I've been using Razorpay over a year, but a recent incident has made me lose trust in your services. A chargeback was raised by a customer, but despite not sending me any mail for submitting documents, you processed the chargeback in favor of the customer.",2025-03-26 11:34:36+0000,Razorpay,negative,0.894471705,settlement
